,Time,X,Y,Z
0,0.034413,0.0132,-0.0217,0.9978
1,0.063626,-0.0325,0.0117,1.021
2,0.065821,-0.0188,-0.0088,1.0225
3,0.087054,0.0159,-0.0159,0.9846
4,0.106137,-0.0083,-0.0042,1.009
5,0.128228,-0.0195,-0.0005,1.0185
6,0.146235,-0.0017,-0.0093,1.0014
7,0.165927,0.0015,-0.0086,0.998
8,0.185903,-0.0103,-0.0044,1.0107
9,0.209931,-0.0073,-0.0054,1.0095
10,0.226257,-0.0044,-0.0083,1.0024
11,0.247421,-0.0061,-0.009,1.0058
12,0.266161,-0.0086,-0.0054,1.008
13,0.287157,-0.0076,-0.0068,1.0073
14,0.306328,-0.0022,-0.0051,1.0019
15,0.33063,-0.0066,-0.0073,1.0056
16,0.346233,-0.0105,-0.0061,1.0093
17,0.365886,-0.0149,-0.0076,1.0293
18,0.386405,-0.0208,-0.0107,1.022
19,0.407486,0.0154,-0.0061,0.9839
20,0.426448,0.0166,-0.0139,0.9904
21,0.44638,0.0034,-0.0068,1.0024
22,0.465911,-0.0151,-0.0064,1.0203
23,0.486353,-0.0059,-0.0071,1.0088
24,0.506185,0.0098,-0.01,0.997
25,0.527717,0.0034,-0.0083,1.0014
26,0.545989,-0.0046,-0.009,1.0129
27,0.566131,-0.0059,-0.0088,1.0119
28,0.586021,0.0029,-0.0076,1.0032
29,0.60628,0.0044,-0.01,1.0024
30,0.626446,-0.001,-0.0088,1.0093
31,0.646273,-0.0029,-0.0083,1.01
32,0.665921,0.0005,-0.0071,1.0032
33,0.686929,0.0007,-0.01,1.0049
34,0.705859,-0.0024,-0.0071,1.0039
35,0.726852,-0.0005,-0.0103,1.0068
36,0.746522,0.0012,-0.01,1.0046
37,0.76578,0.0002,-0.0081,1.0036
38,0.785815,-0.001,-0.0066,1.008
39,0.807295,-0.002,-0.0098,1.0085
40,0.826473,0.0007,-0.0078,1.0044
41,0.845497,0.001,-0.0086,1.0039
42,0.866267,-0.0029,-0.0078,1.0068
43,0.886243,-0.0015,-0.0098,1.0075
44,0.906909,0.0015,-0.0093,1.0058
45,0.931617,0.0012,-0.0103,1.0041
46,0.946342,-0.0022,-0.0086,1.0063
47,0.96628,-0.0007,-0.0083,1.0054
48,0.986498,0.0002,-0.0098,1.0058
49,1.006342,0.002,-0.0088,1.0066
50,1.026465,-0.0012,-0.01,1.0073
51,1.046446,-0.002,-0.0066,1.0063
52,1.065861,0.001,-0.0088,1.0051
53,1.085558,-0.0012,-0.0103,1.0049
54,1.107324,0.0017,-0.0076,1.0066
55,1.126111,-0.0005,-0.009,1.0095
56,1.146379,0.0005,-0.0083,1.0054
57,1.166052,0.0005,-0.0078,1.0061
58,1.1856,-0.001,-0.009,1.0051
59,1.206386,-0.0002,-0.0061,1.0068
60,1.227062,-0.0007,-0.0093,1.0051
61,1.2461,-0.0012,-0.0086,1.0073
62,1.266703,-0.0017,-0.0103,1.0061
63,1.286987,0.0012,-0.0095,1.0061
64,1.310999,0.0005,-0.0078,1.0083
65,1.32623,0.002,-0.009,1.0058
66,1.350136,-0.0007,-0.0076,1.0066
67,1.367546,0.0012,-0.0093,1.0036
68,1.385642,0.0005,-0.0088,1.0051
69,1.407022,-0.0002,-0.0078,1.0066
70,1.426241,0.0005,-0.009,1.0073
71,1.445894,0.0007,-0.0103,1.0046
72,1.469495,0.0017,-0.0088,1.0066
73,1.485439,0.0,-0.0078,1.0061
74,1.508401,0.0012,-0.0076,1.0063
75,1.526321,0.001,-0.0066,1.0044
76,1.546161,-0.0007,-0.0088,1.0058
77,1.566067,0.002,-0.0081,1.0039
78,1.586998,-0.0017,-0.0081,1.0051
79,1.60638,-0.0007,-0.0081,1.0073
80,1.626533,-0.0005,-0.0071,1.0061
81,1.645758,-0.0002,-0.0083,1.0061
82,1.665895,0.001,-0.0059,1.0058
83,1.686742,0.002,-0.0076,1.0054
84,1.706843,-0.0002,-0.0076,1.0044
85,1.726915,0.0015,-0.0093,1.0085
86,1.745831,0.0024,-0.0093,1.0054
87,1.766999,0.0005,-0.0083,1.0056
88,1.786676,0.0,-0.0093,1.0046
89,1.805519,-0.0017,-0.01,1.0097
90,1.826193,0.0012,-0.0095,1.0075
91,1.84597,0.001,-0.009,1.0034
92,1.86667,-0.001,-0.0107,1.0056
93,1.887832,-0.0012,-0.0103,1.0066
94,1.906122,0.0005,-0.0093,1.0061
95,1.926149,0.0007,-0.0093,1.0046
96,1.951299,-0.0024,-0.0093,1.0044
97,1.966686,-0.0005,-0.0086,1.0044
98,1.985837,0.0002,-0.0088,1.0046
99,2.01026,0.0007,-0.0093,1.0049
100,2.026532,-0.0007,-0.0098,1.008
101,2.046565,0.0,-0.0066,1.0078
102,2.066093,0.0015,-0.0098,1.0036
103,2.085357,0.0017,-0.0083,1.0056
104,2.105555,0.002,-0.0098,1.0056
105,2.127108,-0.0024,-0.0098,1.0049
106,2.146084,0.0015,-0.0098,1.0054
107,2.166165,0.001,-0.009,1.0058
108,2.186118,0.0002,-0.0076,1.0049
109,2.205774,-0.0017,-0.0078,1.0049
110,2.226433,-0.0002,-0.0083,1.0058
111,2.250856,-0.0015,-0.0081,1.0071
112,2.26606,0.0,-0.009,1.0078
113,2.286305,0.0005,-0.0083,1.0044
114,2.306481,0.001,-0.0088,1.0054
115,2.326278,-0.0022,-0.0107,1.0063
116,2.345843,0.0012,-0.0095,1.0063
117,2.366018,-0.0002,-0.0066,1.0061
118,2.38588,-0.0029,-0.0078,1.0063
119,2.405887,0.0015,-0.0088,1.0034
120,2.426732,0.0017,-0.0098,1.0066
121,2.446351,0.0002,-0.0088,1.0051
122,2.466228,-0.0007,-0.0093,1.0041
123,2.487098,0.0,-0.0086,1.0041
124,2.505763,0.001,-0.0095,1.0071
125,2.526311,0.0024,-0.0112,1.0046
126,2.546101,-0.0005,-0.0088,1.0046
127,2.56573,0.0017,-0.01,1.0049
128,2.585895,0.0027,-0.0105,1.0036
129,2.608106,0.001,-0.0078,1.0061
130,2.627638,0.0012,-0.0098,1.0058
131,2.645795,0.0,-0.0095,1.0054
132,2.670017,-0.0005,-0.0086,1.0046
133,2.686849,0.0024,-0.0068,1.0056
134,2.705965,0.0002,-0.0078,1.0063
135,2.731924,0.0007,-0.0083,1.0017
136,2.746032,0.0005,-0.0105,1.0058
137,2.7667,0.0015,-0.0088,1.0056
138,2.785908,-0.0007,-0.0078,1.0066
139,2.805529,0.0005,-0.0081,1.0039
140,2.82667,0.0,-0.009,1.0041
141,2.848535,-0.0012,-0.0081,1.0049
142,2.865196,-0.0005,-0.0083,1.0034
143,2.885524,-0.0005,-0.0078,1.0041
144,2.905513,0.0,-0.0086,1.0063
145,2.925637,-0.0002,-0.0078,1.0058
146,2.946018,0.0002,-0.0081,1.0056
147,2.965786,0.0005,-0.0086,1.0051
148,2.985648,-0.0002,-0.0088,1.0054
149,3.006217,-0.0022,-0.0081,1.0036
150,3.026857,0.0022,-0.0083,1.0056
151,3.045745,0.0007,-0.0078,1.008
152,3.069075,0.0007,-0.0073,1.0071
153,3.086694,-0.0005,-0.0093,1.0039
154,3.106039,0.002,-0.009,1.0046
155,3.127268,0.0012,-0.0078,1.0039
156,3.146173,0.0002,-0.0083,1.0046
157,3.166723,0.0027,-0.0081,1.0056
158,3.185689,0.0017,-0.0095,1.0071
159,3.210695,0.0015,-0.0083,1.0039
160,3.22632,-0.002,-0.0095,1.0049
161,3.245821,-0.0022,-0.0103,1.0044
162,3.265828,0.001,-0.0088,1.0061
163,3.285717,0.0005,-0.0088,1.0063
164,3.30618,-0.001,-0.0071,1.0046
165,3.326898,-0.0024,-0.009,1.0041
166,3.345866,0.001,-0.009,1.0054
167,3.366022,0.0,-0.0064,1.0056
168,3.386634,-0.001,-0.0083,1.0019
169,3.405713,0.001,-0.009,1.0056
170,3.426535,0.0007,-0.0086,1.0071
171,3.446638,0.0022,-0.0081,1.0056
172,3.466224,0.0015,-0.0095,1.0041
173,3.485779,0.002,-0.0095,1.0068
174,3.506023,0.0015,-0.0071,1.0046
175,3.526136,0.002,-0.0093,1.0039
176,3.546327,0.0015,-0.0076,1.0036
177,3.565436,-0.0007,-0.0086,1.0061
178,3.584726,0.0007,-0.0086,1.0066
179,3.606359,0.0005,-0.0107,1.0046
180,3.63057,-0.0005,-0.0086,1.0071
181,3.64536,-0.0012,-0.009,1.0068
182,3.665449,-0.0007,-0.0083,1.0066
183,3.685469,-0.0007,-0.0066,1.0036
184,3.705107,0.0017,-0.0086,1.0054
