,Time,X,Y,Z
132,0.627,-0.12443122,0.13878867,9.748708
133,0.631,-0.14118157,0.15075321,9.710421
134,0.636,-0.13878867,0.15314612,9.751101
135,0.641,-0.105287954,0.15553902,9.719993
136,0.646,-0.12921704,0.13878867,9.722385
137,0.65,-0.105287954,0.13878867,9.719993
138,0.655,-0.11246668,0.15314612,9.736743
139,0.66,-0.107680865,0.12921704,9.746315
140,0.665,-0.15314612,0.13160995,9.782208
141,0.669,-0.13639577,0.12921704,9.770244
142,0.674,-0.12443122,0.12203831,9.739136
143,0.679,-0.12682413,0.16750357,9.748708
144,0.684,-0.14357449,0.12443122,9.751101
145,0.688,-0.15553902,0.15553902,9.7415285
146,0.693,-0.13878867,0.13878867,9.719993
147,0.698,-0.14357449,0.15075321,9.753493
148,0.703,-0.16271774,0.15314612,9.7415285
149,0.707,-0.13400285,0.10289505,9.73435
150,0.712,-0.09332342,0.12443122,9.722385
151,0.717,-0.12203831,0.12921704,9.753493
152,0.722,-0.16989647,0.13639577,9.758279
153,0.726,-0.110073775,0.11485959,9.743921
154,0.731,-0.15553902,0.12921704,9.753493
155,0.736,-0.1196454,0.13639577,9.770244
156,0.741,-0.17228939,0.13878867,9.746315
157,0.745,-0.13160995,0.12203831,9.7415285
158,0.75,-0.1196454,0.11485959,9.724778
159,0.755,-0.1172525,0.13639577,9.763065
160,0.76,-0.12682413,0.1196454,9.810924
161,0.764,-0.107680865,0.107680865,9.755886
162,0.769,-0.09332342,0.1459674,9.724778
163,0.774,-0.12682413,0.12682413,9.751101
164,0.779,-0.13160995,0.08614469,9.719993
165,0.783,-0.10050214,0.09571633,9.722385
166,0.788,-0.16511066,0.12921704,9.786994
167,0.793,-0.110073775,0.12682413,9.760673
168,0.798,-0.15075321,0.110073775,9.731957
169,0.802,-0.1483603,0.12921704,9.727171
170,0.807,-0.14357449,0.12443122,9.73435
171,0.812,-0.10289505,0.13400285,9.770244
172,0.817,-0.10289505,0.11485959,9.70085
173,0.821,-0.13878867,0.13639577,9.736743
174,0.826,-0.15793194,0.13639577,9.727171
175,0.831,-0.13160995,0.15075321,9.6912775
176,0.836,-0.13639577,0.1483603,9.727171
177,0.84,-0.12682413,0.13160995,9.746315
178,0.845,-0.12682413,0.14118157,9.73435
179,0.85,-0.13639577,0.15793194,9.705635
180,0.855,-0.15553902,0.15314612,9.731957
181,0.859,-0.12203831,0.14357449,9.772636
182,0.864,-0.13160995,0.15314612,9.763065
183,0.869,-0.16032484,0.11246668,9.729565
184,0.874,-0.13160995,0.12682413,9.7176
185,0.878,-0.07657306,0.13639577,9.7415285
