,Time,X,Y,Z
0,0.0,-959,-55,-47
1,0.039,-1037,-23,-35
2,0.078,-998,-109,-47
3,0.117,-1073,-62,-27
4,0.156,-1006,-51,-43
5,0.195,-1006,-98,-59
6,0.234,-1053,-70,-31
7,0.273,-1034,-117,-47
8,0.312,-1053,-125,-35
9,0.35100000000000003,-1065,-74,-12
10,0.39,-1034,-113,-31
11,0.42900000000000005,-1018,-133,-51
12,0.468,-1053,-109,-47
13,0.507,-1053,-82,-55
14,0.546,-1061,-90,-51
15,0.5860000000000001,-1065,-59,-35
16,0.625,-1065,-8,-23
17,0.664,-1057,-55,-27
18,0.7030000000000001,-1034,-74,-27
19,0.742,-1053,-47,-27
20,0.781,-1022,-70,-35
21,0.8200000000000001,-1026,-82,-27
22,0.8590000000000001,-1018,-90,-43
23,0.898,-1030,-43,-35
24,0.937,-1041,-86,-35
25,0.9760000000000001,-1034,-78,-35
26,1.0150000000000001,-1014,-66,-43
27,1.054,-1037,-74,-31
28,1.093,-1022,-105,-35
29,1.1320000000000001,-1053,-94,-20
30,1.171,-1045,-66,-23
31,1.211,-1034,-82,-27
32,1.25,-1041,-101,-20
33,1.2890000000000001,-1057,-94,-12
34,1.328,-1045,-74,-20
35,1.367,-1065,-27,-8
36,1.4060000000000001,-1049,-35,4
37,1.445,-956,-203,-47
38,1.484,-1010,-133,-35
39,1.5230000000000001,-1049,-113,-27
40,1.562,-1022,-140,-74
41,1.6010000000000002,-1092,-82,-47
42,1.6400000000000001,-1053,-43,-66
43,1.679,-1018,90,-55
44,1.7180000000000002,-1045,27,0
45,1.7570000000000001,-1006,-125,0
46,1.796,-1057,-70,31
47,1.836,-1065,-43,16
48,1.8750000000000002,-1026,-74,0
49,1.9140000000000001,-1026,-113,-16
50,1.953,-991,-117,-59
51,1.9920000000000002,-1002,-4,-27
52,2.031,-1006,4,-4
53,2.0700000000000003,-1006,-23,0
54,2.109,-1014,-117,-4
55,2.148,-1041,-90,0
56,2.1870000000000003,-1030,-43,-8
57,2.226,-1037,-39,20
58,2.265,-1049,-105,31
59,2.3040000000000003,-1018,-105,12
60,2.343,-1022,-55,16
61,2.382,-1026,-47,23
62,2.4210000000000003,-1053,-47,23
63,2.4610000000000003,-1026,-156,101
64,2.5,-1034,-94,105
65,2.539,-1076,-70,78
66,2.5780000000000003,-1178,-764,-788
67,2.617,-1357,-1061,-952
68,2.656,-1334,-1182,-952
69,2.6950000000000003,-1338,-1346,-967
70,2.734,-1385,-1318,-959
71,2.773,-1330,-1244,-1006
72,2.8120000000000003,-1330,-1197,-979
73,2.851,-464,776,-156
74,2.89,-484,784,-164
75,2.9290000000000003,-452,788,-199
76,2.968,-480,796,-187
77,3.007,-495,792,-179
78,3.0460000000000003,-495,811,-179
79,3.0860000000000003,-495,788,-187
80,3.125,-480,796,-187
81,3.164,-488,815,-187
82,3.2030000000000003,-464,807,-195
83,3.242,-488,800,-172
84,3.281,-476,784,-183
85,3.3200000000000003,-472,784,-191
86,3.3590000000000004,-464,784,-183
87,3.398,-472,788,-191
88,3.4370000000000003,-491,792,-183
89,3.4760000000000004,-484,768,-187
90,3.515,-476,800,-187
91,3.5540000000000003,-484,827,-187
92,3.5930000000000004,-472,827,-187
93,3.632,-495,784,-176
94,3.6710000000000003,-476,784,-183
95,3.7110000000000003,-464,800,-195
96,3.7500000000000004,-495,784,-183
97,3.789,-499,772,-172
98,3.8280000000000003,-476,780,-183
99,3.8670000000000004,-495,757,-176
100,3.906,-488,776,-183
101,3.9450000000000003,-507,807,-172
102,3.9840000000000004,-488,796,-179
103,4.023000000000001,-495,772,-187
104,4.062,-566,690,-133
105,4.101,-683,667,-12
106,4.140000000000001,-729,620,-90
107,4.179,-562,659,-140
108,4.218,-698,725,-51
109,4.257000000000001,-488,842,-133
110,4.296,-254,644,-390
111,4.336,-398,686,86
112,4.375,-86,924,-8
113,4.414000000000001,-39,1065,12
114,4.453,144,1143,-55
115,4.492,47,991,-31
116,4.531000000000001,43,963,-140
117,4.57,148,971,-183
118,4.609,90,932,-152
119,4.648000000000001,-82,1006,-98
120,4.687,-12,956,-105
121,4.726,16,979,-187
122,4.765000000000001,82,936,-254
123,4.804,183,975,-273
124,4.843,164,944,-168
125,4.882000000000001,129,913,-179
126,4.921,168,905,-160
127,4.961,125,967,-74
128,5.0,164,1049,-51
129,5.039000000000001,238,1041,-78
130,5.078,289,1049,-59
131,5.117,261,959,39
132,5.156000000000001,242,909,55
133,5.195,257,1010,203
134,5.234,226,940,74
135,5.273000000000001,121,952,289
136,5.312,-8,796,27
137,5.351,-113,686,285
138,5.390000000000001,-140,975,246
139,5.429,-230,971,98
140,5.468,-172,796,257
141,5.507000000000001,-86,597,335
142,5.546,-324,632,254
143,5.586,-601,741,-55
144,5.625,-445,803,27
145,5.664000000000001,-339,889,62
146,5.703,-363,920,-16
147,5.742,-347,913,-35
148,5.781000000000001,-273,889,-8
149,5.82,-257,901,66
150,5.859,-269,885,78
151,5.898000000000001,-242,881,66
152,5.937,-257,924,117
153,5.976,-234,917,82
154,6.015000000000001,-242,963,4
155,6.054,-254,948,20
156,6.093,-218,874,-70
157,6.132000000000001,-234,944,-16
158,6.171,-254,913,-16
159,6.211,-254,909,-51
160,6.25,-261,909,-31
161,6.289000000000001,-257,905,-62
162,6.328,-265,897,-35
163,6.367,-289,897,-51
164,6.406000000000001,-281,862,-43
165,6.445,-300,878,-31
166,6.484,-308,885,-47
167,6.523000000000001,-312,874,-27
168,6.562,-320,839,-31
169,6.601,-332,858,0
170,6.640000000000001,-308,835,4
171,6.679,-332,866,-23
172,6.718000000000001,-332,866,-4
173,6.757000000000001,-335,839,0
174,6.796,-332,870,-12
175,6.836,-339,878,4
176,6.875,-339,885,-8
177,6.914000000000001,-335,850,0
178,6.953,-347,850,4
179,6.992,-339,897,-8
180,7.031000000000001,-347,858,8
181,7.07,-343,862,4
182,7.109000000000001,-343,889,-4
183,7.148000000000001,-343,870,4
184,7.187,-347,846,4
185,7.226000000000001,-335,858,4
186,7.265000000000001,-343,893,0
187,7.304,-347,839,16
188,7.343000000000001,-347,866,4
189,7.382000000000001,-332,885,-4
190,7.421,-347,866,0
191,7.461,-343,874,8
192,7.500000000000001,-339,854,0
193,7.539000000000001,-343,866,4
194,7.578,-343,858,-4
195,7.617000000000001,-347,850,4
196,7.656000000000001,-332,858,-4
197,7.695,-332,854,-4
198,7.734000000000001,-343,885,-8
199,7.773000000000001,-343,850,4
200,7.812,-355,878,0
201,7.851000000000001,-343,878,4
202,7.890000000000001,-339,854,0
203,7.929,-343,866,-8
204,7.968000000000001,-339,889,-16
205,8.007,-339,874,4
206,8.046000000000001,-343,854,4
207,8.086,-335,850,0
208,8.125,-332,874,0
209,8.164,-335,866,0
210,8.203000000000001,-343,878,-4
211,8.242,-343,854,4
212,8.281,-343,881,0
213,8.32,-335,878,12
214,8.359,-335,885,-8
215,8.398,-324,858,0
216,8.437000000000001,-320,854,4
217,8.476,-316,893,-27
218,8.515,-293,839,-47
219,8.554,-234,862,-35
220,8.593,-246,1182,-191
221,8.632,-296,788,-187
222,8.671000000000001,-273,597,-144
223,8.711,-406,846,23
224,8.75,-285,858,-300
225,8.789,-261,835,-296
226,8.828000000000001,-406,995,-320
227,8.867,-644,959,-269
228,8.906,-449,1104,-476
229,8.945,-35,1057,-503
230,8.984,-406,745,-230
231,9.023,-542,566,-628
232,9.062000000000001,-616,784,-519
233,9.101,-495,554,-577
234,9.14,-515,675,-632
235,9.179,-445,718,-456
236,9.218,-636,378,-449
237,9.257000000000001,-608,371,-589
238,9.296000000000001,-351,-39,-546
239,9.336,-257,-117,-839
240,9.375,-101,-43,-725
241,9.414,-285,-105,-1076
242,9.453000000000001,-250,-394,-1229
243,9.492,-211,-554,-1061
244,9.531,-406,-889,-1490
245,9.57,-538,-956,-1533
246,9.609,-846,-647,-1342
247,9.648000000000001,-788,-776,-2020
248,9.687000000000001,-780,-183,-1888
249,9.726,-441,-312,-1404
250,9.765,300,-741,-250
251,9.804,-23,-390,-464
252,9.843,195,413,-148
253,9.882000000000001,-476,300,-667
254,9.921000000000001,-917,-300,-137
255,9.961,-1400,-172,-616
256,10.0,-449,339,12
257,10.039000000000001,-1938,-195,-1357
258,10.078000000000001,-710,-1182,394
259,10.117,-1104,-667,43
260,10.156,-605,-589,-183
261,10.195,-515,456,-78
262,10.234,-542,-281,-562
263,10.273000000000001,-464,-679,-191
264,10.312000000000001,-788,-238,-542
265,10.351,-913,-632,-328
266,10.39,-881,-550,-16
267,10.429,-881,-753,-129
268,10.468,-737,-402,-125
269,10.507000000000001,-768,-495,-172
270,10.546000000000001,-967,-527,-250
271,10.586,-1010,-230,117
272,10.625,-367,-936,523
273,10.664000000000001,-1981,-257,-433
274,10.703000000000001,-1143,-347,-378
275,10.742,-1041,-265,-371
276,10.781,-238,-51,105
277,10.82,-207,-530,39
278,10.859,-749,-121,-312
279,10.898000000000001,-1026,-741,-324
280,10.937000000000001,-1096,-417,-281
281,10.976,-741,-195,66
282,11.015,-671,-285,-16
283,11.054,-885,-819,-480
284,11.093,-558,-429,-328
285,11.132000000000001,-679,-468,-144
286,11.171000000000001,-823,-452,-293
287,11.211,-1123,-562,-371
288,11.25,-932,-753,-31
289,11.289000000000001,-878,-601,74
290,11.328000000000001,-211,-242,51
291,11.367,-671,-300,109
292,11.406,-250,-605,257
293,11.445,-839,-585,378
294,11.484,-612,-987,538
295,11.523000000000001,-612,-573,335
296,11.562000000000001,-577,113,31
297,11.601,-612,-1385,-281
