,Time,X,Y,Z
0,0.062571,0.0,0.0,0.0
1,0.085386,-0.1261,0.3191,0.9624
2,0.143617,-0.1153,0.3,0.9577
3,0.205395,-0.1068,0.2885,0.9492
4,0.265911,-0.1197,0.2956,0.9567
5,0.325027,-0.1158,0.2753,0.9413
6,0.387141,-0.1319,0.2944,0.9638
7,0.447663,-0.0723,0.3567,0.965
8,0.508413,-0.1571,0.2756,0.9484
9,0.56616,-0.1246,0.1859,0.9323
10,0.6278,-0.1593,0.2145,0.9663
11,0.693205,-0.213,0.2824,0.9663
12,0.750498,-0.1412,0.2414,0.9216
13,0.810845,-0.2064,0.2888,1.011
14,0.864455,-0.2064,0.2888,1.011
15,0.927319,-0.3208,0.1781,0.8473
16,0.988836,-0.3992,0.2157,0.8685
17,1.050014,-0.3298,0.2526,0.9286
18,1.128293,-0.547,0.2165,0.8048
19,1.163334,-0.5795,0.1867,0.7979
20,1.228284,-0.6479,0.1962,0.6887
21,1.286207,-0.7715,0.1815,0.3948
22,1.348761,-0.7821,0.0322,0.9272
23,1.405884,-0.9172,0.073,0.5343
24,1.465225,-0.9409,0.0076,0.7762
25,1.52485,-0.9472,0.0156,0.4332
26,1.588733,-1.0288,-0.0313,0.2863
27,1.646498,-1.0256,-0.0024,0.2712
28,1.705587,-0.8583,-0.096,0.3533
29,1.768284,-0.9409,0.0098,0.3694
30,1.826153,-0.9726,-0.1021,0.3152
31,1.886489,-1.0227,0.0506,0.3034
32,1.949518,-0.9343,0.0855,0.3125
33,2.005985,-0.8483,0.1138,0.4427
34,2.06636,-0.9543,0.032,0.2204
35,2.12571,-1.0337,0.0564,-0.1994
36,2.186029,-1.3982,0.0774,0.4498
37,2.250338,-0.8615,-0.0046,-0.3025
38,2.307455,-1.0745,0.0931,-0.1048
39,2.368238,-0.9704,0.0015,-0.1146
40,2.425666,-1.0036,0.0398,-0.1769
41,2.485615,-0.9968,0.053,-0.1121
42,2.545395,-1.0083,0.0322,-0.1312
43,2.607384,-1.0254,0.0225,-0.1065
44,2.664412,-1.0071,0.0076,-0.1586
45,2.728496,-1.0093,0.0464,-0.1314
46,2.785911,-1.0022,0.0178,-0.1156
47,2.848923,-1.0181,0.0537,-0.1004
48,2.90775,-0.998,0.0564,-0.0916
49,2.965045,-0.9882,0.0428,-0.0967
50,3.025839,-1.001,0.0423,-0.0906
51,3.08412,-1.0032,0.0564,-0.0872
52,3.146437,-1.0388,0.0279,-0.0919
53,3.205131,-0.9895,0.0357,-0.0977
54,3.264727,-1.0046,0.0469,-0.0919
55,3.324981,-1.0212,0.0479,-0.0877
56,3.385202,-0.9973,0.0577,-0.0933
57,3.447906,-1.0083,0.0599,-0.0963
58,3.512677,-0.9997,0.0574,-0.0985
59,3.569172,-1.0102,0.0567,-0.0892
60,3.62596,-1.0085,0.0457,-0.086
61,3.687009,-1.0022,0.0581,-0.0853
62,3.750563,-1.0144,0.0486,-0.0794
63,3.804878,-1.0022,0.0474,-0.0901
64,3.8671,-1.0129,0.0474,-0.0816
65,3.925234,-1.0066,0.0457,-0.0782
66,3.985048,-0.999,0.0474,-0.0911
67,4.049406,-1.0151,0.053,-0.0894
68,4.108635,-0.9988,0.0469,-0.0967
69,4.165846,-1.0188,0.0591,-0.0872
70,4.228453,-0.9956,0.0501,-0.0923
71,4.286163,-0.9924,0.052,-0.1038
72,4.346741,-1.0102,0.0518,-0.1041
73,4.406524,-1.0078,0.0828,-0.0838
74,4.465011,-1.0063,0.0828,-0.0621
75,4.524854,-1.01,0.097,-0.0877
76,4.585705,-0.9985,0.0511,-0.1041
77,4.647399,-1.01,0.0335,-0.1077
78,4.705278,-0.9944,0.0679,-0.1173
79,4.765008,-1.0171,0.0376,-0.0953
80,4.825518,-1.0078,0.0711,-0.0994
81,4.886939,-0.9868,0.0498,-0.1305
82,4.945641,-1.0181,0.0855,-0.1165
83,5.004698,-0.9946,0.0269,-0.1378
84,5.065735,-0.9953,0.0665,-0.0765
85,5.127421,-0.9245,0.0948,-0.4398
86,5.184867,-1.2675,0.0645,0.0081
87,5.246399,-0.9741,0.0381,-0.0987
88,5.306377,-1.0234,0.1329,-0.1256
89,5.363851,-0.9997,0.0909,-0.119
90,5.42438,-0.9851,0.064,-0.1119
91,5.485652,-1.0044,0.0261,-0.118
92,5.544874,-1.0266,0.0706,-0.1419
93,5.60197,-1.0212,0.0853,-0.119
94,5.661103,-0.997,0.0322,-0.0892
95,5.722794,-0.8724,0.2152,0.0161
96,5.781149,-1.0889,0.0716,-0.3017
97,5.842229,-1.1536,0.0489,0.001
98,5.90143,-0.9416,0.0046,-0.0899
99,5.96273,-1.0046,0.1539,-0.1033
100,6.020914,-0.9411,0.0476,-0.1309
101,6.081531,-1.0557,-0.0134,-0.1141
102,6.140328,-0.9846,0.0645,-0.1231
103,6.201891,-1.044,0.0596,-0.1268
104,6.260935,-1.0293,0.0591,-0.0513
105,6.326056,-1.0063,0.096,-0.0792
106,6.381243,-0.7457,0.2873,-0.1845
107,6.444075,-1.0615,-0.031,-0.1551
108,6.502764,-0.7957,-0.0403,-0.1434
109,6.559669,-1.0633,0.0374,0.0178
110,6.621224,-0.9697,0.0655,-0.0982
111,6.68048,-1.0505,0.1202,-0.1104
112,6.74085,-0.9775,0.0415,-0.1649
113,6.801453,-1.01,0.0467,-0.1847
114,6.861663,-0.9995,0.043,-0.1222
115,6.921411,-0.9665,0.098,-0.0674
116,6.982041,-0.8737,0.0249,-0.0472
117,7.041164,-0.5671,0.1195,-0.0772
118,7.101725,-0.5671,0.138,-0.1353
119,7.162653,-1.1925,-0.0669,-0.0674
120,7.222404,-1.6413,0.2218,-0.3652
121,7.280096,-2.6613,0.1417,-0.2775
122,7.342878,-2.7104,0.342,-0.1625
123,7.40039,-0.7354,0.0682,-0.2792
124,7.462576,0.3655,-0.1253,-0.1598
125,7.520652,-0.2612,0.1031,0.0623
126,7.582932,0.0259,-0.0831,0.1141
127,7.643633,0.163,-0.0479,-0.0281
128,7.700488,-0.0694,0.0472,0.052
129,7.760551,-2.6833,-0.0142,-0.536
130,7.822966,-2.3176,-0.0931,-0.2741
131,7.882423,-1.6721,0.1131,-0.1029
132,7.942038,-1.1497,-0.086,-0.0967
133,7.999658,-0.9216,0.0679,-0.1165
134,8.061107,-0.7642,0.0232,-0.173
135,8.120837,-0.935,0.0352,-0.1693
136,8.180855,-0.8065,0.065,-0.1361
137,8.243531,-0.7586,0.0508,-0.0537
138,8.301043,-0.9924,-0.001,-0.1639
139,8.361043,-1.0366,0.14,0.0071
140,8.421029,-0.7166,0.0002,-0.1339
141,8.482304,-1.0962,0.0569,-0.086
142,8.542341,-0.9773,-0.0039,-0.086
143,8.600277,-1.0002,0.0286,-0.0767
144,8.660125,-1.0366,0.0161,-0.0679
145,8.721367,-1.0039,0.0467,-0.0833
146,8.779837,-1.0166,0.0472,-0.073
147,8.840881,-1.0129,0.0249,-0.0508
148,8.901714,-1.0044,0.0396,-0.0611
149,8.961405,-1.0266,0.0107,-0.0486
150,9.020913,-1.0232,0.0616,-0.0298
151,9.080026,-0.9748,0.0625,-0.0188
152,9.145366,-1.0239,0.077,0.0049
153,9.200977,-0.976,0.0606,0.0379
154,9.262299,-1.0139,0.0726,0.0293
155,9.32127,-1.0007,0.0821,0.0349
156,9.381441,-0.9887,0.0484,0.0279
157,9.450186,-1.009,0.0704,0.0437
158,9.501585,-0.9966,0.041,0.041
159,9.562124,-1.0156,0.0308,0.0154
160,9.620948,-0.9951,0.0313,0.0122
161,9.678458,-1.0029,0.0518,0.01
162,9.744151,-0.9856,0.0472,-0.0056
163,9.799319,-1.0178,0.0354,0.0139
164,9.86191,-1.011,0.041,-0.0027
165,9.920616,-1.0139,0.0545,-0.0129
166,9.980988,-1.0188,0.0599,-0.0149
167,10.041385,-0.9973,0.0169,-0.0291
168,10.100949,-0.9797,0.0034,-0.031
169,10.160549,-1.0371,0.063,-0.032
170,10.221466,-0.9985,-0.0042,-0.0586
171,10.280405,-0.987,-0.012,-0.0305
172,10.342978,-1.019,0.0161,-0.033
173,10.400413,-1.0185,0.0511,-0.0743
174,10.462047,-0.9907,0.01,-0.0816
175,10.520689,-1.0603,0.0078,-0.0799
176,10.581459,-0.9675,0.0413,-0.0733
177,10.643443,-1.0498,0.043,-0.0889
