Time,Qom,ComX,ComY,AomX1,AomY1,AomX2,AomY2
0,1126817,0.5198609931041746,0.493441247928161,0.638,0.35833333333333334,0.7293333333333333,0.63
40,1126817,0.5198609931041746,0.493441247928161,0.638,0.35833333333333334,0.7293333333333333,0.63
80,428770,0.5041122590977296,0.4857653248439334,0.872,0.39666666666666667,0.8946666666666667,0.5066666666666667
120,636180,0.5149784735976193,0.4910812086725978,0.8353333333333334,0.41,0.876,0.5316666666666666
160,572472,0.502317842619377,0.4867984984418453,0.8706666666666667,0.39,0.894,0.6
200,935822,0.5169907425414947,0.4874723273585504,0.8333333333333334,0.38,0.896,0.595
240,1007863,0.5288647372377664,0.5030693573101371,0.818,0.38666666666666666,0.8773333333333333,0.555
280,570727,0.4896087785111503,0.501627859437758,0.8393333333333334,0.4266666666666667,0.8553333333333333,0.5283333333333333
320,680415,0.49302857324818916,0.498828097558108,0.43666666666666665,0.23833333333333334,0.48533333333333334,0.3233333333333333
360,618200,0.4909855915022107,0.4920131349077968,0.8286666666666667,0.435,0.8553333333333333,0.5133333333333333
400,789147,0.5084099844515662,0.5007120304159638,0.7626666666666667,0.5366666666666666,0.8193333333333334,0.6
440,499567,0.4903236669622561,0.504168563309159,0.874,0.51,0.8873333333333333,0.5816666666666667
480,688791,0.501748158730297,0.5040551197678251,0.8766666666666667,0.45666666666666667,0.8913333333333333,0.5766666666666667
520,638970,0.49134748110239934,0.4902661862059252,0.574,0.5783333333333334,0.6073333333333333,0.615
560,791135,0.520293002669161,0.4989605292817702,0.8306666666666667,0.465,0.8766666666666667,0.5866666666666667
600,514774,0.4989542996862053,0.47470318042480775,0.8526666666666667,0.39666666666666667,0.8673333333333333,0.4533333333333333
640,657860,0.500635084465793,0.48733541330982255,0.674,0.4216666666666667,0.7053333333333334,0.5483333333333333
680,578077,0.48949619629680235,0.4855492261411542,0.6873333333333334,0.45,0.7046666666666667,0.5216666666666666
720,666344,0.502500939454696,0.4892344594783875,0.67,0.37166666666666665,0.704,0.42
760,1060777,0.5274725036459125,0.49180252619856313,0.7753333333333333,0.8266666666666667,0.8033333333333333,1.0
